file,family,members,tris,verts,dim_x,dim_y,dim_z,materials,bytes
Entrance panel/Entrance panel rail__n4.glb,Entrance panel,4,12,8,1.5,0.05,0.055,Verdigris bronze.001,1980
Hanger clevis/Hanger _ clevis cheek__n4.glb,Hanger clevis,4,12,8,0.125,0.043,0.34,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,2056
Hanger pin/Hanger _ pin retaining head__n4.glb,Hanger pin,4,124,64,0.09,0.09,0.022,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,8212
Hanger saddle/Hanger _ saddle return__n4.glb,Hanger saddle,4,12,8,0.16,0.039,0.38,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,2084
Low offering/Low offering table top__n4.glb,Low offering,4,12,8,1.6,0.6,0.13,Craft timber | furniture | X,2180
Rack bronze/Rack bronze cap__n4.glb,Rack bronze,4,12,8,0.15,0.25,0.19,Verdigris bronze.001,1960
Rack foot/Rack foot__n4.glb,Rack foot,4,12,8,0.3,0.8,0.2,Craft timber | beam | Y;Timber | softened worn arrises,2152
Rack upright/Rack upright__n4.glb,Rack upright,4,12,8,0.12,0.17,2.1,Craft timber | beam | Z;Timber | softened worn arrises,2152
Small bell/Small bell hanger.001__n4.glb,Small bell,4,12,8,0.018,0.018,0.425,Worn golden bronze.001,2044
Small bell/Small bell hanger__n4.glb,Small bell,4,12,8,0.018,0.018,0.37,Worn golden bronze.001,2036
Small hanging/Small hanging bell.001__n4.glb,Small hanging,4,1598,768,0.23037,0.26144,0.64687,Verdigris bronze.001,29040
Small hanging/Small hanging bell__n4.glb,Small hanging,4,1598,768,0.22989,0.26031,0.7019,Verdigris bronze.001,29032
Stone chime/Stone chime on table__n3.glb,Stone chime,3,12,8,0.3,0.2,0.09,Warm limestone.001,2052
Cast ornamental/Cast ornamental face backing__n2.glb,Cast ornamental,2,12,8,2.02,0.22,1.455,Bronze | exposed cast edges;Hero bronze | layered oxidation,2008
Ceremonial table/Ceremonial table apron__n2.glb,Ceremonial table,2,12,8,2.35,0.09,0.24,Craft timber | furniture | X;Timber | softened worn arrises,2148
Coffer frame/Coffer frame.002__n2.glb,Coffer frame,2,12,8,2.75,0.13,0.13,Craft timber | frame | X,2128
Coffer frame/Coffer frame__n2.glb,Coffer frame,2,12,8,0.13,2.65,0.13,Craft timber | frame | Y,2156
Entrance jamb/Entrance jamb__n2.glb,Entrance jamb,2,12,8,0.19,0.25,3.3,Craft timber | beam | Z,2108
Entrance recessed/Entrance recessed panel__n2.glb,Entrance recessed,2,12,8,1.45,0.08,1.5,Craft timber | beam | Z,2148
Entrance wall/Entrance wall__n2.glb,Entrance wall,2,12,8,3.2,0.3,5.2,Earth plaster.001,2020
Frame capital/Frame capital__n2.glb,Frame capital,2,12,8,0.62,0.65,0.2,Craft timber | frame | Y;Timber | softened worn arrises,2172
Frame foot/Frame foot__n2.glb,Frame foot,2,12,8,0.82,1.15,0.28,Craft timber | frame | Y;Timber | softened worn arrises,2164
Great frame/Great frame upright__n2.glb,Great frame,2,12,8,0.36,0.45,3.7,Craft timber | frame | Z;Timber | softened worn arrises,2176
Hanger crown/Hanger _ crown stud__n2.glb,Hanger crown,2,124,64,0.074,0.074,0.09,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,8148
Hanger locking/Hanger _ locking washer__n2.glb,Hanger locking,2,124,64,0.15,0.15,0.025,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,8152
Hanger lower/Hanger _ lower bearing__n2.glb,Hanger lower,2,12,8,0.21,0.24,0.047,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,2088
Hanger transverse/Hanger _ transverse load pin__n2.glb,Hanger transverse,2,124,64,0.066,0.066,0.235,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,8216
Hanger upper/Hanger _ upper bearing saddle__n2.glb,Hanger upper,2,12,8,0.22,0.64,0.046,Bronze | exposed cast edges;Hanger bronze | dark worked alloy,2092
Lintel end/Lintel end bronze shoe__n2.glb,Lintel end,2,12,8,0.48,0.54,0.23,Verdigris bronze.001,2012
Rack hanging/Rack hanging rail__n2.glb,Rack hanging,2,12,8,1.47,0.11,0.08,Worn golden bronze.001,1992
Rack lintel/Rack lintel__n2.glb,Rack lintel,2,12,8,1.62,0.23,0.16,Craft timber | beam | X;Timber | softened worn arrises,2152
Side plaster/Side plaster wall__n2.glb,Side plaster,2,12,8,0.3,11.3,5.2,Earth plaster.001,2008
Small bell/Small bell hanger.002__n2.glb,Small bell,2,12,8,0.018,0.018,0.48,Worn golden bronze.001,2044
Small hanging/Small hanging bell.002__n2.glb,Small hanging,2,1598,768,0.23056,0.26256,0.59155,Verdigris bronze.001,29036
Splayed upper/Splayed upper bracket__n2.glb,Splayed upper,2,12,8,0.26,0.26,0.73693,Craft timber | beam | Z,2268
Suspension pin/Suspension pin__n2.glb,Suspension pin,2,124,64,0.13,0.13,0.09,Worn golden bronze.001,6084
Suspension rod/Suspension rod__n2.glb,Suspension rod,2,12,8,0.0525,0.0525,0.5,Worn golden bronze.001,2052
Vestibule wall/Vestibule wall__n2.glb,Vestibule wall,2,12,8,0.3,2.3,4.0,Earth plaster.001,1984
Wall dado/Wall dado cap__n2.glb,Wall dado,2,12,8,0.16,11.2,0.09,Verdigris bronze.001,1980
Wall dado/Wall dado__n2.glb,Wall dado,2,12,8,0.09,11.2,1.05,Craft timber | beam | Y,2144
Back dado/Back dado.glb,Back dado,1,12,8,9.0,0.12,1.05,Craft timber | beam | X,2116
Ceiling/Ceiling.glb,Ceiling,1,12,8,9.6,11.6,0.24,Craft timber | beam | Y,2120
Central luminous/Central luminous coffer.glb,Central luminous,1,12,8,2.5,2.35,0.055,Warm luminous parchment,2192
Ceremonial mallet/Ceremonial mallet.glb,Ceremonial mallet,1,12,8,0.04,0.04,0.92,Craft timber | furniture | Z,2200
Ceremonial table/Ceremonial table top.glb,Ceremonial table,1,12,8,2.5,0.63,0.13,Craft timber | furniture | X;Timber | softened worn arrises,2132
Clapper stem/Clapper stem.glb,Clapper stem,1,124,64,0.11,0.11,0.8,Worn golden bronze.001,6068
Clapper weight/Clapper weight.glb,Clapper weight,1,124,64,0.28,0.28,0.22,Verdigris bronze.001,6068
Continuous floor/Continuous floor.glb,Continuous floor,1,12,8,9.5,11.5,0.3,Dark joints.001,2056
Dais step/Dais step.001.glb,Dais step,1,12,8,4.5,2.525,0.15,Craft timber | beam | X,2124
Dais step/Dais step.002.glb,Dais step,1,12,8,4.2,2.375,0.15,Craft timber | beam | X,2112
Dais step/Dais step.glb,Dais step,1,12,8,4.8,2.675,0.15,Craft timber | beam | X,2148
Dais woven/Dais woven mat.glb,Dais woven,1,12,8,2.5,1.8,0.018,Flax mat,2024
Entrance carved/Entrance carved lintel.glb,Entrance carved,1,12,8,3.3,0.3,0.25,Craft timber | beam | X,2116
Entrance lintel/Entrance lintel wall.glb,Entrance lintel,1,12,8,3.0,0.3,1.8,Earth plaster.001,1996
Entrance threshold/Entrance threshold.glb,Entrance threshold,1,12,8,2.9,0.6,0.12,Stone | timeworn limestone,2040
Great bell/Great bell _ hollow cast shell.glb,Great bell,1,1598,768,2.3562,1.1662,1.93163,Bronze | exposed cast edges;Hero bronze | layered oxidation,29024
Great suspension/Great suspension lintel.glb,Great suspension,1,12,8,3.85,0.55,0.38,Craft timber | frame | X;Timber | softened worn arrises,2160
Mallet bronze/Mallet bronze head.glb,Mallet bronze,1,124,64,0.15,0.15,0.18,Verdigris bronze.001,6128
Rear plaster/Rear plaster wall.glb,Rear plaster,1,12,8,9.5,0.3,5.2,Earth plaster.001,1984
Vestibule end/Vestibule end wall.glb,Vestibule end,1,12,8,3.6,0.25,4.2,Earth plaster.001,1980
Vestibule floor/Vestibule floor.glb,Vestibule floor,1,12,8,3.0,2.0,0.14,Stone | timeworn limestone,1972
Vestibule roof/Vestibule roof.glb,Vestibule roof,1,12,8,3.6,2.4,0.2,Craft timber | beam | X,2148
